titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Chargé d’Affaires  - North Africa (Maghreb),SAINT GOBAIN MAROC,International,"['BTP ', ' Commercialisation ', ' Développement Commercial ', ' Négociation ', ' Négociation Commerciale ', ' Stratégie Commerciale ', ' Suivi Commercial ', ' Vente']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/charge-affaires-north-africa-maghreb-8707997
Demi Chef de Partie Oriental Cuisine Chaude - Nouakchott,FASQ HOTEL,International,['Cuisine'],"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDD,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/demi-chef-partie-oriental-cuisine-chaude-nouakchott-8714148
Chef de Projet Evenementiel/Tourisme - Marrakech,N/A,Marrakech-Safi,"['Évènementiel ', ' Hôtellerie ', ' Restauration ', ' Tourisme']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/chef-projet-evenementieltourisme-marrakech-8714832
Technicien(ne) en Automatisme - Mohammedia et Régions,SOMAS,Casablanca-Mohammedia,"['Automatisme ', ' Informatique Industrielle']",Bac+2,Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicienne-automatisme-mohammedia-regions-8714998
"Représentant Commercial et Pédagogique Terrain -Secteur de L’Éducation - Salé,Kénitra",CALLIOPE,Rabat-Salé-Kénitra,"['Techniques de Vente ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/representant-commercial-pedagogique-terrain-secteur-education-salekenitra-8717283
Responsable Technique en Maintenance - Casablanca - Rabat,N/A,Casablanca-Mohammedia & Rabat-Salé-Kénitra,"['Devis ', ' Maintenance ', ' Maintenance Préventive ', ' Production ', ' Qualité ', ' Réparation']",Bac+5 et plus,Expérience > 10 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-technique-maintenance-casablanca-rabat-8721964
Assistante Juridique  - Rabat,CABINET D’AVOCATS HIZOUNI,Rabat-Salé-Kénitra,['Gestion Administrative'],"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-juridique-rabat-8723575
Responsable Administratif et Commercial - Tétouan,SALAM GAZ,Fès - Meknès - Rabat-Salé-Kénitra & Tanger-Tétouan-Al Hoceïma,"['Maintenance ', ' Qualité']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-administratif-commercial-tetouan-8725382
Conseiller Commercial en Rachat de Crédit,PARTNERS FINANCES,Tanger-Tétouan-Al Hoceïma,"['Conseil ', ' Négociation ', ' Vente']",Bac+4 & Bac+5 et plus,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI & Anapec,10.01.2025,https://www.emploi.ma/offre-emploi-maroc/conseiller-commercial-rachat-credit-8284602
Technicien Maintenance - Casablanca,TECTRA AGENCE AIN SBAA,Casablanca-Mohammedia,"['Automatisme ', ' Automatisme Mécanique ', ' Électricité Industrielle ', ' Hydraulique ', ' Hydraulique Pneumatique ', ' Machines ', ' Maintenance ', ' Maintenance Pneumatique ', ' Maintenance Préventive ', ' Mécanique Hydraulique ', ' Optique ', ' Pneumatique ', ' Qualité']",Bac+3,Expérience entre 2 ans et 5 ans,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-casablanca-8733775
Responsable Réseaux Sociaux (Community Manager)  - Casablanca,CALLIOPE,Casablanca-Mohammedia,"['Communication ', ' Communication Digitale ', ' Communication Marketing ', ' Marketing']",Bac+3 & Bac+4,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-reseaux-sociaux-community-manager-casablanca-8733767
Technicien Qualité - Casablanca,TECTRA AGENCE AIN SBAA,Casablanca-Mohammedia,"['Fabrication ', ' IATF 16949 ', ' Ishikawa ', ' Maintenance ', ' Métrologie ', ' Process ', ' Production ', ' QRQC ', ' Qualité']",Bac+2,Expérience entre 2 ans et 5 ans,CDI & Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-qualite-casablanca-8733766
Sous Chef de Cuisine  - Agadir,TECTRA,Agadir,"['Cuisine ', ' Production Culinaire ', ' Restauration ', ' Tourisme']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/sous-chef-cuisine-agadir-8733739
Assistante Administrative et Commerciale  - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,Casablanca-Mohammedia,"['Comptabilité ', ' Devis ', ' Finance ', ' Gestion ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-administrative-commerciale-casablanca-8733511
Assistante SAV,PROFESSIONAL LABO,Casablanca-Mohammedia,"['Achats ', ' Assistanat ', ' Gestion des Commandes ', "" Processus d'Achats "", ' Secrétariat']",Bac+3,Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-sav-8361047
Standardiste - Casablanca,N/A,Casablanca-Mohammedia,"['Accueil Physique ', ' Assistanat ', ' Secrétariat']",Bac+3,Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/standardiste-casablanca-8553546
Responsable Marketing Direct - Casablanca,ENI,Casablanca-Mohammedia,"['Communication ', ' Comptabilité ', ' Gestion ', "" Gestion d'Équipe "", ' Marketing ', ' Marketing Direct ', ' Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-marketing-direct-casablanca-8733332
Superviseur Marketing Direct - Casablanca,ENI,Casablanca-Mohammedia,"['Comptabilité ', ' Finance ', ' Gestion ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/superviseur-marketing-direct-casablanca-8733318
"Développeur Junior Python, JavaScript, XML et PostgreSQL - Casablanca",CALLIOPE,Casablanca-Mohammedia,"['API ', ' JAVASCRIPT ', ' POSTGRESQL ', ' PYTHON ', ' REST ', ' XML']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/developpeur-junior-python-javascript-xml-postgresql-casablanca-8733293
Comptable - Casablanca,ENI,Casablanca-Mohammedia,"['Comptabilité ', ' Comptabilité Fournisseurs ', ' Écritures Comptables ', ' Gestion']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-casablanca-8733277
Gestionnaire Achats - Casablanca,ENI,Casablanca-Mohammedia,"['Achats ', ' Stockage ', ' Stocks ', ' Transport ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/gestionnaire-achats-casablanca-8733273
Électricien Industriel - Casablanca Et Région,TECTRA,Casablanca-Mohammedia,"['Câblage ', ' Électromécanique ', ' Machines ', ' Maintenance ', ' Maintenance Industrielle ', ' Qualité']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/electricien-industriel-casablanca-region-8733272
Gestionnaire Moyens Généraux - Casablanca,ENI,Casablanca-Mohammedia,"['Achats ', ' Transport ', ' Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/gestionnaire-moyens-generaux-casablanca-8733268
Mécanicien Industriel - Casablanca Et Région,TECTRA,Casablanca-Mohammedia,"['Industrie ', ' Maintenance ', ' Maintenance Industrielle ', ' Maintenance Mécanique ', ' Mécanique Industrielle ', ' Production ', ' Qualité ', ' Réparation ', ' Réparation Mécanique']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/mecanicien-industriel-casablanca-region-8733255
Soudeur - Kénitra,TECTRA,Rabat-Salé-Kénitra,"['Maintenance ', ' Production ', ' Qualité']",Qualification avant bac,Débutant < 2 ans,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/soudeur-kenitra-8733194
Technicien Construction Métallique  - Zenata,TECTRA,Casablanca-Mohammedia,"['Construction Métallique ', ' Maintenance ', ' Qualité']",Bac+2,Expérience entre 5 ans et 10 ans,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-construction-metallique-zenata-8733191
Chargé(e) de Production Assurance  - Casablanca,GROUPE TECTRA,Casablanca-Mohammedia,"['Comptabilité ', ' Gestion']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/chargee-production-assurance-casablanca-8733158
Agent Immobilier - Casablanca,BARNES LS CASABLANCA,Casablanca-Mohammedia,['Vente'],"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-immobilier-casablanca-8507273
Business Unit Manager - Had Soualem,AFRICAWORK,Casablanca-Mohammedia,['Vente'],Bac+4 & Bac+5 et plus,Expérience > 10 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/business-unit-manager-had-soualem-8602882
Project Engineer - Automation/Mechatronic/Data Science -  Brussels,PROCTER & GAMBLE,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,['Vente'],Bac+5 et plus,"Etudiant, jeune diplômé",CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/project-engineer-automationmechatronicdata-science-brussels-8665239
Agent de Voyages Germanophone ( H/F) - Marrakech,TAFOUKT TRAVEL,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"['Accueil ', ' Gestion de la Clientèle ', ' Prospection ', ' Tourisme ', ' Vente']","Bac+2, Bac+3, Bac+4 - Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD - Freelance",15.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-voyages-germanophone-hf-marrakech-8691174
Commis Cuisine en Intérim H/F - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,Casablanca-Mohammedia,"['Cuisine ', ' Hôtellerie ', ' Restauration ', ' Tourisme']","Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/commis-cuisine-interim-hf-casablanca-8723501
Commercial - Tanger,TECTRA TANGER – RECRUTEMENT,Tanger-Tétouan-Al Hoceïma,"['Négociation ', ' Prospection ', ' Vente']",Bac+3,Expérience entre 2 ans et 5 ans,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/commercial-tanger-8723555
Téléprospectrice  - Rabat,CAISSE MANAGER,Rabat-Salé-Kénitra,['Communication'],Bac,Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/teleprospectrice-rabat-8723613
Ingénieur Études d´Exécution en Électricité - Casablanca,B2I,Casablanca-Mohammedia,"['AUTOCAD ', ' DIALUX ', ' Génie Électrique ', ' REVIT']",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/ingenieur-etudes-execution-electricite-casablanca-8699636
Développeur Backend API – Projet RDV Permis - Marrakech,OBJECTIF SÉCURITÉ ÉDUCATION ROUTIÈRE,Marrakech-Safi,"['API ', ' DOCKER ', ' JAVA ', ' MONGODB ', ' MYSQL ', ' NODE JS ', ' NOSQL ', ' OAUTH ', ' POSTGRESQL ', ' PYTHON ', ' REST']",Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/developpeur-backend-api-projet-rdv-permis-marrakech-8687036
Chargé d´Affaire en Maintenance Multi-technique - Casablanca - Rabat,N/A,Casablanca-Mohammedia & Rabat-Salé-Kénitra,"['Devis ', ' Maintenance ', ' Réparation']",Bac+5 et plus,Expérience > 10 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/charge-affaire-maintenance-multi-technique-casablanca-rabat-8690824
Agent Général - Béni Mellal et Région,RMA ASSURANCE,Béni Mellal-Khénifra,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-azilalfequih-ben-salehdemnate-8692138
Agent Général - Marrakech et Région,RMA ASSURANCE,Marrakech-Safi,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-marrakechourikaben-guerir-8692196
Agent Général - Oujda et Région,RMA ASSURANCE,Oujda,"['Suivi Commercial ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-general-oujdaberkanejerada-8692202
Senior Manager Maintenance et Sûreté - Rabat,AFRICAWORK,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"['CPS ', ' Maintenance ', ' Processus ', ' Production ', ' Qualité ', ' Supervision de la Maintenance']",Bac+5 et plus,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/senior-manager-maintenance-surete-rabat-8696012
Comptable Confirmé - Mohammedia et Régions,SOMAS,Casablanca-Mohammedia,"['Analyse Financière ', ' Comptabilité ', ' Écritures Comptables ', ' États Financiers ', ' Finance ', ' Fiscalité ', ' Gestion ', ' Gestion Financière ', ' Trésorerie']",Bac+4 & Bac+5 et plus,Expérience entre 5 ans et 10 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-confirme-mohammedia-regions-8707287
Equipier(ère) Polyvalent(e)  - Casablanca,CAISSE MANAGER,Casablanca-Mohammedia,"['Cuisine ', ' Hygiène ', ' Maintenance ', ' Montage ', ' Production ', ' Qualité ', ' Restauration ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/equipierere-polyvalente-casablanca-8720058
Caissière  - Casablanca,CAISSE MANAGER,Casablanca-Mohammedia,"['Cuisine ', ' Maintenance ', ' Production ', ' Qualité ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/caissiere-casablanca-8720059
Conseiller Commercial  - Casablanca,ENI,Casablanca-Mohammedia,"['Actions Commerciales ', ' Communication ', ' Marketing ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/conseiller-commercial-casablanca-8721960
Représentant(e) Service Client et Administration des Ventes - Casablanca,TECTRA AGENCE AIN SBAA,Casablanca-Mohammedia,['Gestion des Ventes'],Bac+3,Expérience entre 2 ans et 5 ans et plus,Intérim,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/representante-service-client-administration-ventes-casablanca-8722041
Facturière - Casablanca,TECTRA AGENCE AIN SBAA,Casablanca-Mohammedia,"['Comptabilité ', ' Facturation ', ' Finance ', ' Gestion']",Bac+3,Expérience entre 2 ans et 5 ans,Intérim,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/facturiere-casablanca-8722102
Coordinateur des Examens (Anglophone) - Casablanca,CALLIOPE,Casablanca-Mohammedia,"['Assistanat ', ' Comptabilité ', ' Finance ', ' Gestion ', ' Gestion Administrative ', ' Réception ', ' Secrétariat']",Bac+2 & Bac+3,Expérience entre 2 ans et 5 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/coordinateur-examens-anglophone-casablanca-8722142
Technicien de Ferme Pédagogique  - Dar Bouazza,N/A,Casablanca-Mohammedia,"['Entretien ', ' Jardinage ', ' Maintenance']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-ferme-pedagogique-dar-bouazza-8722227
Représentant Commercial Terrain - Secteur de L’Éducation - Kénitra,CALLIOPE,Rabat-Salé-Kénitra,"['Techniques de Vente ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/representant-commercial-terrain-secteur-education-kenitra-8722503
Fleuriste - Casablanca,TECTRA CASA TERTIAIRE – RECRUTEMENT,Casablanca-Mohammedia,"['Installation ', ' Nettoyage']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,Intérim,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/fleuriste-casablanca-8722711
Caissière  - Rabat,CAISSE MANAGER,Rabat-Salé-Kénitra,"['Assistanat ', ' Cuisine ', ' Secrétariat ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/caissiere-rabat-8722770
Commis de Cuisine H/F  - Rabat,CAISSE MANAGER,Rabat-Salé-Kénitra,"['Assemblage ', ' Cuisine ', ' Entretien ', ' Hygiène ', ' Maintenance ', ' Production ', ' Qualité ', ' Réception ', ' Restauration ', ' Sécurité Alimentaire ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/commis-cuisine-hf-rabat-8722777
Sushi Man  - Rabat,CAISSE MANAGER,Rabat-Salé-Kénitra,"['Cuisine ', ' Hygiène ', ' Sécurité Alimentaire ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/sushi-man-rabat-8722782
Wok Man  - Rabat,CAISSE MANAGER,Rabat-Salé-Kénitra,"['Cuisine ', ' Formation ', ' Hygiène ', ' Maintenance ', ' Normes de Qualité ', ' Production ', ' Qualité ', ' Restauration ', ' Sécurité ', ' Sécurité Alimentaire ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/wok-man-rabat-8722786
Livreur  - Rabat,CAISSE MANAGER,Rabat-Salé-Kénitra,"['Livraison ', ' Sécurité Routière ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/livreur-rabat-8722788
Equipier (ère) Polyvalent (e) - Rabat,CAISSE MANAGER,Rabat-Salé-Kénitra,"['Cuisine ', ' Hygiène ', ' Maintenance ', ' Montage ', ' Production ', ' Qualité ', ' Restauration ', ' Tourisme']",Bac,Débutant < 2 ans,CDI,14.01.2025,https://www.emploi.ma/offre-emploi-maroc/equipier-ere-polyvalent-e-rabat-8722794
Comptable Confirmé - ELG,BRICOMA,Casablanca-Mohammedia,"['Comptabilité ', ' Comptabilité Générale ', ' Finance ', ' Gestion']",Bac+5 et plus,Expérience entre 5 ans et 10 ans,CDI,13.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-confirme-elg-8252224
Comptable  - Casablanca,BRICOMA,Casablanca-Mohammedia,"['Comptabilité ', ' Comptabilité Générale ', ' Finance ', ' Gestion']",Bac+3,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,13.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-casablanca-8731767
Procurement Manager - Casablanca,AFRICAWORK,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"['Achats ', ' Distribution ', ' Procurement']",Bac+4 - Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,13.01.2025,https://www.emploi.ma/offre-emploi-maroc/procurement-manager-casablanca-8731766
Responsable Centre  - Safi,GROUPE TECTRA,Marrakech-Safi,"['Gestion ', ' Management']",Bac+5 et plus,Expérience entre 2 ans et 5 ans,Intérim,13.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-centre-safi-8731765
Ingénieur Sécurité SI - Casablanca,AFRICAWORK,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"['Gestion ', ' Management']",Bac+4 - Bac+5 et plus,Débutant < 2 ans - Expérience entre 2 ans et 5 ans,CDI,13.01.2025,https://www.emploi.ma/offre-emploi-maroc/ingenieur-securite-si-casablanca-8731764
